Tiempo,Fallas_totales,Fallas_programadas,Fallas_reactivas,Tiempo_operacion,Tiempo_reparacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
97,25,13,12,4022.962043567174,103.048701925354,-4029.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
98,25,13,12,4022.962043567174,103.048701925354,-4028.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
99,25,13,12,4022.962043567174,103.048701925354,-4027.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
100,25,13,12,4022.962043567174,103.048701925354,-4026.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
101,25,13,12,4022.962043567174,103.048701925354,-4025.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
102,25,13,12,4022.962043567174,103.048701925354,-4024.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
103,25,13,12,4022.962043567174,103.048701925354,-4023.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
104,25,13,12,4022.962043567174,103.048701925354,-4022.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
105,25,13,12,4022.962043567174,103.048701925354,-4021.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
106,25,13,12,4022.962043567174,103.048701925354,-4020.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
107,25,13,12,4022.962043567174,103.048701925354,-4019.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
108,25,13,12,4022.962043567174,103.048701925354,-4018.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
109,25,13,12,4022.962043567174,103.048701925354,-4017.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
110,25,13,12,4022.962043567174,103.048701925354,-4016.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
111,25,13,12,4022.962043567174,103.048701925354,-4015.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
112,25,13,12,4022.962043567174,103.048701925354,-4014.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
113,25,13,12,4022.962043567174,103.048701925354,-4013.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
114,25,13,12,4022.962043567174,103.048701925354,-4012.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
115,25,13,12,4022.962043567174,103.048701925354,-4011.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
116,25,13,12,4022.962043567174,103.048701925354,-4010.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
117,25,13,12,4022.962043567174,103.048701925354,-4009.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
118,25,13,12,4022.962043567174,103.048701925354,-4008.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
119,25,13,12,4022.962043567174,103.048701925354,-4007.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
120,25,13,12,4022.962043567174,103.048701925354,-4006.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
121,25,13,12,4022.962043567174,103.048701925354,-4005.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
122,25,13,12,4022.962043567174,103.048701925354,-4004.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
123,25,13,12,4022.962043567174,103.048701925354,-4003.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
124,25,13,12,4022.962043567174,103.048701925354,-4002.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
125,25,13,12,4022.962043567174,103.048701925354,-4001.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
126,25,13,12,4022.962043567174,103.048701925354,-4000.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
127,25,13,12,4022.962043567174,103.048701925354,-3999.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
128,25,13,12,4022.962043567174,103.048701925354,-3998.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
129,25,13,12,4022.962043567174,103.048701925354,-3997.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
130,25,13,12,4022.962043567174,103.048701925354,-3996.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
131,25,13,12,4022.962043567174,103.048701925354,-3995.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
132,25,13,12,4022.962043567174,103.048701925354,-3994.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
133,25,13,12,4022.962043567174,103.048701925354,-3993.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
134,25,13,12,4022.962043567174,103.048701925354,-3992.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
135,25,13,12,4022.962043567174,103.048701925354,-3991.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
136,25,13,12,4022.962043567174,103.048701925354,-3990.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
137,25,13,12,4022.962043567174,103.048701925354,-3989.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
138,25,13,12,4022.962043567174,103.048701925354,-3988.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
139,25,13,12,4022.962043567174,103.048701925354,-3987.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
140,25,13,12,4022.962043567174,103.048701925354,-3986.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
141,25,13,12,4022.962043567174,103.048701925354,-3985.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
142,25,13,12,4022.962043567174,103.048701925354,-3984.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
143,25,13,12,4022.962043567174,103.048701925354,-3983.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
144,25,13,12,4022.962043567174,103.048701925354,-3982.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
145,25,13,12,4022.962043567174,103.048701925354,-3981.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
146,25,13,12,4022.962043567174,103.048701925354,-3980.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
147,25,13,12,4022.962043567174,103.048701925354,-3979.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
148,25,13,12,4022.962043567174,103.048701925354,-3978.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
149,25,13,12,4022.962043567174,103.048701925354,-3977.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
150,25,13,12,4022.962043567174,103.048701925354,-3976.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
151,25,13,12,4022.962043567174,103.048701925354,-3975.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
152,25,13,12,4022.962043567174,103.048701925354,-3974.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
153,25,13,12,4022.962043567174,103.048701925354,-3973.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
154,25,13,12,4022.962043567174,103.048701925354,-3972.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
155,25,13,12,4022.962043567174,103.048701925354,-3971.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
156,25,13,12,4022.962043567174,103.048701925354,-3970.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
157,25,13,12,4022.962043567174,103.048701925354,-3969.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
158,25,13,12,4022.962043567174,103.048701925354,-3968.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
159,25,13,12,4022.962043567174,103.048701925354,-3967.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
160,25,13,12,4022.962043567174,103.048701925354,-3966.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
161,25,13,12,4022.962043567174,103.048701925354,-3965.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
162,25,13,12,4022.962043567174,103.048701925354,-3964.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
163,25,13,12,4022.962043567174,103.048701925354,-3963.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
164,25,13,12,4022.962043567174,103.048701925354,-3962.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
165,25,13,12,4022.962043567174,103.048701925354,-3961.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
166,25,13,12,4022.962043567174,103.048701925354,-3960.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
167,25,13,12,4022.962043567174,103.048701925354,-3959.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
168,25,13,12,4022.962043567174,103.048701925354,-3958.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
169,25,13,12,4022.962043567174,103.048701925354,-3957.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
170,25,13,12,4022.962043567174,103.048701925354,-3956.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
171,25,13,12,4022.962043567174,103.048701925354,-3955.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
172,25,13,12,4022.962043567174,103.048701925354,-3954.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
173,25,13,12,4022.962043567174,103.048701925354,-3953.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
174,25,13,12,4022.962043567174,103.048701925354,-3952.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
175,25,13,12,4022.962043567174,103.048701925354,-3951.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
176,25,13,12,4022.962043567174,103.048701925354,-3950.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
177,25,13,12,4022.962043567174,103.048701925354,-3949.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
178,25,13,12,4022.962043567174,103.048701925354,-3948.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
179,25,13,12,4022.962043567174,103.048701925354,-3947.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
180,25,13,12,4022.962043567174,103.048701925354,-3946.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
181,25,13,12,4022.962043567174,103.048701925354,-3945.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
182,25,13,12,4022.962043567174,103.048701925354,-3944.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
183,25,13,12,4022.962043567174,103.048701925354,-3943.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
184,25,13,12,4022.962043567174,103.048701925354,-3942.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
185,25,13,12,4022.962043567174,103.048701925354,-3941.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
186,25,13,12,4022.962043567174,103.048701925354,-3940.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
187,25,13,12,4022.962043567174,103.048701925354,-3939.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
188,25,13,12,4022.962043567174,103.048701925354,-3938.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
189,25,13,12,4022.962043567174,103.048701925354,-3937.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
190,25,13,12,4022.962043567174,103.048701925354,-3936.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
191,25,13,12,4022.962043567174,103.048701925354,-3935.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
192,25,13,12,4022.962043567174,103.048701925354,-3934.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
193,25,13,12,4022.962043567174,103.048701925354,-3933.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
194,25,13,12,4022.962043567174,103.048701925354,-3932.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
195,25,13,12,4022.962043567174,103.048701925354,-3931.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
196,25,13,12,4022.962043567174,103.048701925354,-3930.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
197,25,13,12,4022.962043567174,103.048701925354,-3929.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
198,25,13,12,4022.962043567174,103.048701925354,-3928.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
199,25,13,12,4022.962043567174,103.048701925354,-3927.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
200,25,13,12,4022.962043567174,103.048701925354,-3926.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
201,25,13,12,4022.962043567174,103.048701925354,-3925.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
202,25,13,12,4022.962043567174,103.048701925354,-3924.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
203,25,13,12,4022.962043567174,103.048701925354,-3923.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
