Hora,Tiempo_operacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
95,111.41431748590658,128.38471244069007,0.0,0.0,1837.9194749831365,1409.1833107547832
96,112.62989014178297,129.5278227495022,0.0,0.0,1843.6839429809356,1421.7432575324942
97,113.90509031302442,130.9312615284084,0.0,0.0,1884.1195284010814,1440.6122364937564
98,115.34351821906978,132.45469944479623,0.0,0.0,1889.9908655830425,1461.1007571892676
99,116.51157852553962,133.42675804159975,0.0,0.0,1897.6320361164035,1476.5658940418818
100,117.9308384324531,133.87465900155024,0.0,0.0,1920.354106230965,1486.992537228718
101,119.14196915526144,134.13265256154602,0.0,0.0,1944.1517975845316,1500.649807774193
102,120.96504352813861,134.76772497526895,0.0,0.0,1951.06264144224,1512.727863178684
103,122.76322259631023,135.7863678696321,0.0,0.0,1988.7427200569105,1532.5242905816754
104,123.56198940695174,137.6703516682453,0.0,0.0,2024.1173296204927,1547.282386664175
105,124.82650557354339,138.9428245612267,0.0,0.0,2048.7572202837823,1563.5269025511504
106,125.92738074677926,140.2900823691898,0.0,0.0,2071.811792225643,1573.6216722291213
107,126.97873570604297,141.4312535636937,0.0,0.0,2106.158085683475,1586.6537763113422
108,128.1603309924465,142.83017702324852,0.0,0.0,2131.923610974129,1607.122209448938
109,129.20671858614023,144.470871454339,0.0,0.0,2141.341554188486,1621.7224246108428
110,130.69969671321041,146.39095355462393,0.0,0.0,2181.136750641604,1638.2236700036296
111,132.1470030689994,147.78997626646722,0.0,0.0,2190.168635924891,1655.251109518213
112,133.2189686051526,149.47022043677555,0.0,0.0,2199.227896977661,1663.751381940415
113,134.41138455127455,150.8467775260756,0.0,0.0,2220.766484230897,1685.2593629092657
114,135.10550595377828,151.85515777872723,0.0,0.0,2228.78484094208,1697.1797397841856
115,135.35497846312714,153.7414268226532,0.0,0.0,2254.2955952210054,1709.1550557306248
116,136.3852860486155,153.77077713777527,0.0,0.0,2261.2026313644083,1719.6679519661625
117,137.7386718968983,155.6916979354062,0.0,0.0,2271.836047946286,1734.7873257923015
118,139.79439421738672,157.19479454711555,0.0,0.0,2277.5001273294943,1748.7145550674438
119,141.36735441559597,158.68184636856495,0.0,0.0,2298.4936497757535,1757.198149986517
120,142.70927315050304,159.31942822219608,0.0,0.0,2328.1390757677714,1767.1698894187045
121,144.21019583394232,160.69569802086838,0.0,0.0,2360.600161176152,1778.9093715094564
122,145.26029647898065,162.35212086698198,0.0,0.0,2390.155445757019,1796.401880229149
123,146.45369166026404,163.8654994961392,0.0,0.0,2396.2868078506885,1805.6261491936004
124,148.17134740679052,165.25755014274296,0.0,0.0,2401.8337917506587,1815.169322886331
125,149.35527668139488,166.50348424322416,0.0,0.0,2433.684818935422,1834.7453044790577
126,151.12887672538778,168.0049193803339,0.0,0.0,2470.9947056027704,1854.5568602393814
127,152.07417603076155,169.1573569809996,0.0,0.0,2477.582658733519,1869.778540828333
128,153.50562775037477,169.2661533071052,0.0,0.0,2484.6448288281213,1887.452992095203
129,154.2341520977727,170.49069254390494,0.0,0.0,2490.439206646758,1904.665100988538
130,154.92203993680727,172.21736105897418,0.0,0.0,2499.4593047192707,1925.6568275986294
131,156.41919710655634,172.32271731530096,0.0,0.0,2527.1380419367333,1937.5659508219487
132,157.41565840285088,173.98226062836184,0.0,0.0,2537.1762587887183,1949.8015840513574
133,158.51673720430605,174.09173911786544,0.0,0.0,2544.3571092095144,1958.2204466163755
134,159.6322443793417,174.3928470942814,0.0,0.0,2571.522959754075,1973.5208627833947
135,161.01650760264485,175.41073172729736,0.0,0.0,2579.6378955486343,1994.0095485202824
136,162.26844722637418,176.82503753682232,0.0,0.0,2611.258588014107,2015.5537457228963
137,163.56745035935813,177.94342128975137,0.0,0.0,2619.0621416388085,2033.0676773544737
138,165.35408288486366,179.71738941264692,0.0,0.0,2628.583835957231,2046.9073912091221
139,166.39653285674314,181.3057190787752,0.0,0.0,2661.9154182548823,2067.0133158950002
140,167.65445997437888,182.46601676566297,0.0,0.0,2671.5008534737817,2088.561756309461
141,168.72641515238962,183.0640501578983,0.0,0.0,2678.7700986992236,2098.819517427476
142,169.99905953676839,184.63957826932497,0.0,0.0,2684.8228673140225,2109.153611492709
143,170.75099332684746,185.18265518895274,0.0,0.0,2714.502863671025,2126.6851741491378
144,171.94834724236964,186.1031492371201,0.0,0.0,2725.1340753813583,2134.9767168782346
145,172.84920643209574,187.77142029603436,0.0,0.0,2730.4159553311492,2149.5129745489585
146,173.84266604463227,189.70411030783106,0.0,0.0,2750.5682381151037,2169.3267607826824
147,175.01201327811953,190.13223236480786,0.0,0.0,2761.073030981611,2190.6717578889666
148,176.08289027274796,190.25168061585705,0.0,0.0,2796.7675992851396,2209.7750552214666
149,176.71847367367423,191.7591280584171,0.0,0.0,2827.498560766458,2222.488238278651
150,178.1316335072516,193.15474392816503,0.0,0.0,2832.94901132955,2232.5549721530215
151,179.32308271777475,194.26166274304734,0.0,0.0,2854.4411602917307,2253.5997682868256
152,180.31349824014754,195.54341197637993,0.0,0.0,2891.453398521128,2266.2912822963904
